S/N,Name,City,Address,Phone,Owner
243,EREL ECZANESİ,GAZİMAĞUSA,Salamis yolu Salamis Hotel Karşısı,(0392) 864 93 85,Ecz. Nazife Sağlamer
244,ERGİN ECZANESİ,GAZİMAĞUSA,Mağusa Tıp Merkezi Hastanesi Acil Servis Karşısı Mağusa,(0392) 365 47 35,Ecz. Ergin İlktaç
245,ERTUĞ EMİN ECZANESİ,GAZİMAĞUSA,"Ismet İnönü Bulvarı Reflex Apt. No:104, Mardo ve Dağlı Sigorta yanı, Sakarya, Gazimağusa",(0392) 365 60 60,Ecz. Ertuğ Emin
246,FAYDALI ECZANESİ,GAZİMAĞUSA,Devlet Hastanesi Yolu Zabitler Petrol 100 m öncesi DAÜ Bankamatik yanı,(0392) 365 69 22,Ecz. Olcay Faydalı
247,GİZEM KARAHASAN ECZANESİ,GAZİMAĞUSA,"Yeni Hastane yolu, Karting yanı, Tuzla, Gazimağusa",(0392) 364 84 94,Ecz. Gizem Karahasan
248,GİZEMGÜL ECZANESİ,GAZİMAĞUSA,Yeniknet Mah.Kadife Sok Yeni Boğaziçi,(0392) 378 98 98,Ecz. Gizemgül Beşergil
249,GÖKCEN İLKTAÇ ECZANESİ,GAZİMAĞUSA,"İsmet İnönü Bulvarı No: 145, Güder Apt. No: 5, Birleşmiş Milletler karşısı, Gazimağusa",(0392) 365 68 20,Ecz. Parandis İlktaç
250,GÜLFİDAN ECZANESİ,GAZİMAĞUSA,Istiklal Cad. N0:195/2 Yeniboğaziçi,(0392) 378 94 14,Ecz. Gülfidan Köseoğlu
251,GÜLOĞLU ECZANESİ,GAZİMAĞUSA,"Mustafa Kemal Bulvarı Notherland Alasya Park sitesi, Eski Kaliland karşısı Dük. 4, Mağusa",(0392) 365 38 68,Ecz. Fisun Güloğlu Beşergil
252,GÜZER ECZANESİ,GAZİMAĞUSA,"City Mall AVM yanı (arka yol), Dersaneler yolu, Golden Car Wash çaprazı, Çanakkale, Gazimağusa",(0533) 874 03 74,Ecz. Bahar Güzer
253,HACER BALIKÇI ECZANESİ,GAZİMAĞUSA,Mustafa Kemal Bulvarı. Döveç Elite Life Apt.:3. Mağusa,(0392) 365 55 18,Ecz. Hacer Balıkçı
254,HAKAN ECZANESİ,GAZİMAĞUSA,Kocatepe Sok.N0:1 GaziMağusa,(0392) 366 27 13,Ecz. Nurten Göksan
255,HALİL HAMZALAR ECZANESİ,GAZİMAĞUSA,Halil Hamza Yolu Ece Apt. Dükkan3 Zizzi Pizza & Dünya Oto Galeri arası / Kaliland Bölgesi Gazimağusa,(0392) 365 55 94,Ecz. Halil Hamzalar
256,HALK ECZANESİ,GAZİMAĞUSA,"Namık Kemal Meydanı Kışla Yolu 2-D, Suriçi, Gazimağusa",(0392) 366 53 33,Ecz. Ayten Bayram
257,HALKIN ECZANESİ,GAZİMAĞUSA,"2. Uluçam Yolu Erbatu Apt. Evleri B Blok, Dük.1, Pakduş ve Çocuk Dünyası yolu, Noterland Primer Park karşısı, Sakarya, Gazimağusa",(0392) 365 01 12,Ecz. Esra Halkın
258,HANDE BESMEL ECZANESİ,GAZİMAĞUSA,Gülseren Yolu Cahit Sıtkı Tarancı Sokak Şafak Plaza No:10 Karakol Bölgesi Mağusa,(0392) 365 34 50,Ecz. Hande Besmel
259,HİÇKORKMAZ ECZANESİ,GAZİMAĞUSA,"Tünay İrfanoğlu sok. Northerland Premier, Dış Kapı No: 8, Sakarya, Gazimağusa",(0533) 832 24 03,Ecz. Laika Hiçkorkmaz
260,İÇTEN ECZANESİ,GAZİMAĞUSA,"Eşref Bitlis Cad. İsmet Erel Apt. Dukkan No: 1 (Tıp Merkezi Girişi), Gazimağusa",(0392) 365 22 00,Ecz. Hüsniye Öztoprak
261,İNEM MİMAR ECZANESİ,GAZİMAĞUSA,"Hasan Barbaçolli Sok. Uzun Apt. 11, Yeni Lemar akra yolu - Burçin Bestamil kuaför karşısı, Sakarya, Gazimağusa",(0548) 842 27 95,Ecz. İnem Mimar
262,KAĞAN KANDEMİR ECZANESİ,GAZİMAĞUSA,"Samanyolu Sokak Çanakkale Ayten 2 Apt. No: 3, Gazimağusa",(0533) 881 66 26,Ecz. Kağan Kandemir
263,KARAKOL ECZANESİ,GAZİMAĞUSA,Gülseren yolu Nilgün uzun Apt.N0:2 Karakol Mağusa,(0392) 365 65 19,Ecz. Sevtap Zeki
264,KUNTER GÜVEN ECZANESİ,GAZİMAĞUSA,"Karakız Sokak No: 2, Baykal Kunter Güven Hastanesi Karşısı, Gazimağusa",(0392) 366 19 09,Ecz. Ahmet Kunter
265,LARNAKA YOLU ECZANESİ,GAZİMAĞUSA,"15 Ağustos Bulvarı Dük. 2, No:136/B, 2,5 mil yolu, Çanakkale, Gazimağusa",(0533) 860 59 65,Ecz. Sibel Kösedağ
266,MEHMET ARTER ECZANESİ,GAZİMAĞUSA,"15 Ağustos Bulvarı Piyale Paşa Mah. İlhan Apt. No:1, Larnaka Yolu, Gazimağusa",(0392) 366 00 02,Ecz. Mehmet Arter
267,MEHMETALİ BEYAZ ECZANESİ,GAZİMAĞUSA,"Eşref Bitlis Cad., Topcu Bulvarı, Beyzade Apt., No: 3, Garanti Bankası Karşısı Polis Müdürlüğü önü Gazimağusa",(0392) 365 06 50,Ecz. Mehmetali Beyaz
268,MELİKE BARBAROS ECZANESİ,GAZİMAĞUSA,"Şht.İbrahim Hasan Cad.City Mall yolu üzeri (Tözün Kuru Temizleme'den, City Mall istikametine giderken solda,Akol İnş Şirketi yanı)",(0392) 365 42 40,Ecz. Melike Barbaros
269,MEVA ECZANESİ,GAZİMAĞUSA,"15A Ordu Sok. Açık Pazar Karşısı, Mağusa",(0548) 837 23 23,Ecz. Meva Arter
270,NASİM ECZANESİ,GAZİMAĞUSA,"Colins yanında, Ozkoç Plaza, Calıforıan Restorant karşısında, Salamis Yolu Mağusa",(0392) 365 03 40,Ecz. Faysal Zeki
271,NİLHAN SOYSAL ECZANESİ,GAZİMAĞUSA,"Silahlı Kuvvetler Cad. Pertur Apt. No: 29A, The Europen Hotel (Sema) - Adaş Bebe karşısı, Gazimağusa",(0392) 366 03 53,Ecz. Nilhan Soysal
272,ÖREN ECZANESİ,GAZİMAĞUSA,"Cengizhan yolu No: 91. Maraş bölgesi, Gazimağusa (Öztemur hırdavat ve Fidan marketin karşısı. Kombos meydanı)",(0392) 366 34 57,Ecz. Cem Ören
273,OSMANKAN ECZANESİ,GAZİMAĞUSA,Hüseyin Durmuş Sok. 50/ A Dük.No:2 Larnaka Yolu,(0392) 366 92 97,Ecz. Emre Osmankan
274,ÖZAY ECZANESİ,GAZİMAĞUSA,Altay Sok. Baykal Mağusa,(0392) 366 48 36,Ecz. Özay Atamözlü
275,ÖZÇAĞ ECZANESİ,GAZİMAĞUSA,411 İsmet İnönü Bulvarı Salamis Yolu,(0392) 365 08 76,Ecz. Nalan Kansu
276,ÖZGE KALE ECZANESİ,GAZİMAĞUSA,"Şht.İbrahim Hasan Sok, Dükkan 4 China-Bazaar yanı - Günay taksi sırası, Ayluga Gazimağusa",(0392) 366 88 66,Ecz. Özge Kale
277,ÖZNERGİS ECZANESİ,GAZİMAĞUSA,Salamis Yolu Şıkm Prenses Karşısı,(0392) 365 24 92,Ecz. Necla Öznergis
278,PETEK ECZANESİ,GAZİMAĞUSA,Zafer Anıtı Ticaret Merkezi 3/4 Mağusa,(0392) 366 29 28,Ecz. Semra Gani
279,PHARMATOWN ECZANESİ,GAZİMAĞUSA,İsmet İnönü Sok. N0:12 Yeniboğaziçi,(0392) 378 95 06,Ecz. Himmet Soner
280,RANA YONTAR ECZANESİ,GAZİMAĞUSA,Şht. İbrahim Hasan sok. no:14 AK - UN Market yanı Çanakkale bölgesi. Gazimağusa,(0392) 366 19 19,Ecz. Rana Yontar
281,REZAN ECZANESİ,GAZİMAĞUSA,İsmet İnönü bulvarı Presidental Bulding Dük.N0:6 Gazimağusa,(0392) 365 69 11,Ecz. Rezan Mevlit
282,SAKARYA ECZANESİ,GAZİMAĞUSA,"Narli Sok., Mağusa Tıp Merkezi Hastanesi yanı, Sakarya, Gazimağusa",(0392) 365 29 89,Ecz. Tijen Coşar
283,SEMAHAT ATAYOL ECZANESİ,GAZİMAĞUSA,"Üç Çakırlar Cad. Canbulat Özgürlük Orta Okulu Yanı No: 4A Maraş, Gazimağusa",(0392) 366 91 93,Ecz. Semahat Atayol
284,SÜAY SEVİNÇ ECZANESİ,GAZİMAĞUSA,"Salamis Yolu No: 168A, Akay Saat yanı, Gazimağusa",(0392) 365 42 80,Ecz. Süay Sevinç
285,SÜMER 2 ECZANESİ,GAZİMAĞUSA,Otobüs Terminali B Blok N0:1 GaziMağusa,(0392) 366 37 93,Ecz. Ülfet Bilgekul
286,SÜMER ECZANESİ,GAZİMAĞUSA,"İsmet İnönü Bulvarı 258/A, DAÜ çemberi karşısı, Gazimağusa",(0392) 365 49 69,Ecz. Banu Tuzlalı
287,TANYA SALİMER ECZANESİ,GAZİMAĞUSA,"15 Ağustos Bulvarı, Canova Benzin istasyonu yanı, Baykal, Gazimağusa",(0392) 366 99 88,Ecz. Tanya Salimer
288,TARABYA ECZANESİ,GAZİMAĞUSA,"15 Ağustos Bulvarı No: 25A, Larnaka Yolu, Altuner Sağlık Merkezi ve Oykan petrol yanı, Gazimağusa",(0392) 366 36 07,Ecz. Yüksel Altuner
289,ULUÇAY ECZANESİ,GAZİMAĞUSA,"Mağusa Tıp Merkezi Hastanesi (Cyprus Central Hospital) Acil Servis giriş karşısı, Sivil Savunma yanı, Gazimağusa",(0392) 365 24 24,Ecz. Tezer Uluçay
290,UMUT ECZANESİ,GAZİMAĞUSA,"Salamis yolu, Çetin Alkan Apt. No: 2, Dumlupınar Spor Klübü yanı, Sulu Çember - Zafer Anıtı arası, Gazimağusa",(0392) 366 23 69,Ecz. Ayşe Ayman
291,UZAY ECZANESİ,GAZİMAĞUSA,"İsmet İnönü Bulvarı Halken 8 Apt No: 2, Zi̇raat Bankası karşısı - Özdi̇lek yanı, Gazimağusa",(0392) 365 56 56,Ecz. Çisem İçten
292,VELİ ATEŞ ECZANESİ,GAZİMAĞUSA,"Adsız Asker Sok. Noyan Apt. No:1, Salamis Yolu, Shoe For Me ayakkabı mağazasından içeri dönünce Merve kuaför yanı, Gazimağusa",(0932) 365 04 19,Ecz. Sema Ateş
293,VELİ NURLUÖZ ECZANESİ,GAZİMAĞUSA,"Döveç (48) Corner Park binası, Macro Süpermarket (yeni Lemar) arkası, Mağusa Arena Spor Kompleksi yanı, Sakarya, Gazimağusa",(0392) 365 36 31,Ecz. Veli Nurluöz
294,VEZİROĞLU ECZANESİ,GAZİMAĞUSA,Anafartalar Cad. Alibey Apt.N0:2 Karakol İlkokulu Yolu Karakol Gazimağusa,(0392) 365 69 77,Ecz. Fatma Veziroğlu
295,ZERİN VOLKAN ECZANESİ,GAZİMAĞUSA,İsmet İnönü Bulvarı Sosyal Konut Apt.Gazi Mağusa,(0392) 365 59 59,Ecz. Zerin Volkan
296,ZEYNEP ECZANESİ,GAZİMAĞUSA,"İsmet İnönü Bulvarı No: 7, Salamis Yolu, Sulu Çember yanı, Gazimağusa",(0392) 365 18 47,Ecz. Zeynep İlktaç
297,AKÇAY ECZANESİ,GÜZELYURT,"Naci Talat Caddesi No: 1, Akçay, Güzelyurt",(0392) 725 84 77,Ecz. Dilek Kara
298,AŞAR ECZANESİ (GÜZELYURT),GÜZELYURT,"Ecevit Cad.18/B, Güzelyurt",(0392) 714 21 93,Dr. Ecz. Özgür Karataşlı
299,AYCAN ECZANESİ,GÜZELYURT,Ecevit Cad. 4J Güzelyurt,(0392) 714 23 16,Ecz. Aycan Eşrefoğlu
300,CAMCIOĞLU ECZANESİ,GÜZELYURT,Şht.Mümür Dilaver Sok No:24 C Güzelyurt,(0392) 714 24 57,Ecz. Perin Camcıoğlu
301,DOĞA ECZANESİ,GÜZELYURT,Piyale Paşa Mah.No:121,(0392) 714 46 40,Ecz. Doğa Ünlüyol
302,DOĞUŞ TÜRKBAYOĞLU ECZANESİ,GÜZELYURT,"Şht. Hasan Cafer Sk. Dış Kapı No: 1, Güzelyurt",(0533) 836 43 58,Ecz. Doğuş Türkbayoğlu
303,EMİNE ŞENTÜRK ECZANESİ,GÜZELYURT,"Büyük Ada Sok No: 22, Güzelyurt",(0533) 851 58 21,Ecz. Emine Şentürk
304,ERİN ECZANESİ,GÜZELYURT,Kutlu Adalı Bulvarı N0:41 Lemar Dük.Güzelyurt,(0392) 714 70 52,Ecz. Erin Egesoy Kamer
305,FAİKA COŞKUN ECZANESİ,GÜZELYURT,Kalkanlı Cad. No:61/ C Kalkanlı,(0533) 882 22 68,Ecz. Faika Coşkun
306,GİLANLI ECZANESİ,GÜZELYURT,"Ecevit Cad. No: 120B, Güzelyurt",(0392) 714 47 90,Ecz. Ayten Gilanlıoğulları
307,GÜLSEN ECZANESİ,GÜZELYURT,Piyale Paşa Mahallesi Sanayi Sitesi No:7 Güzelyurt,(0392) 714 11 90,Ecz. Gülsen Ünlüyol
308,İLAYDA GÜLKAN ECZANESİ,GÜZELYURT,"Şht. Celal Bekiroğlu Sokak (Yalova Spor Klübü karşısı), Aşağı Bostancı",(0392) 714 60 22,Ecz. İlayda Gülkan
309,İLKİN SADRAZAM ECZANESİ,GÜZELYURT,Binatlıı Sok.N0:6 A/B Güzelyurt,(0392) 714 12 22,Ecz. İlkin Sadrazam
310,İNCİ ECZANESİ,GÜZELYURT,Kutlu Adalı Bulvarı N0: 1K Terminal karşısı Güzelyurt,(0392) 714 32 52,Ecz. İnci Dizgin Nazım
311,MERVE GÜMÜŞOK ECZANESİ,GÜZELYURT,İzzet Kombos Bulvarı No:148 Yukarı Bostancı Güzelyurt,(0392) 714 44 48,Ecz. Merve Gümüşok
312,NİLGÜN ECZANESİ,GÜZELYURT,25 Ecevit Cad. Güzelyurt,(0392) 714 38 47,Ecz. Nilgün Faruk
313,RESMİYE ESE ECZANESİ,GÜZELYURT,Ecevit Cad. N0:75/1 Güzelyurt,(0392) 714 45 18,Ecz. Resmiye Ese
314,SERCAN AVCI ECZANESİ,GÜZELYURT,Şht.Raşit Osman Sok.No:2 /E Güzelyurt,(0392) 714 48 94,Ecz. Sercan Avci
315,SEVİL ECZANESİ,GÜZELYURT,55 Ecevit Cad. Beşyol Güzelyurt,(0392) 714 35 91,Ecz. Mustafa Zeybekoğulları
316,SÜREYYA ÖZCOŞKUN ECZANESİ,GÜZELYURT,Şht.Mehmet Sokollu Sok.Lala Mustafa Paşa Mah. No:14 -A Güzelyurt,(0392) 714 20 00,Ecz. Süreyya Özcoşkun
317,UYUMSAL ECZANESİ,GÜZELYURT,Kutlu Adalı Bulvarı 3 A Güzelyurt,(0392) 714 30 05,Ecz.Ayşe Pilancı
318,ALTINCI ECZANESİ,LEFKE,ŞhT. Nejdet Levent Sok.Dük.No:4 A Denizli Lefke,(0548) 889 17 07,Ecz. Çağın Altıncı
319,AYŞE ALTINTUĞ ECZANESİ,LEFKE,Şht. Fuat Yakup Sok. No:7 Denizli Lefke,(0542) 872 69 74,Ecz. Ayşe Çizer
320,DERVİŞ KUTRET ECZANESİ,LEFKE,Dr.İzzet Salih Suphi Maydanı N0:5 Lefke,(0533) 882 94 56,Ecz. Derviş Kutret
321,DİLAN PUL ECZANESİ,LEFKE,Ecevit Cad. Şafak Apt. Dük. No:2 Yeşilyurt Lefke,(0392) 723 73 33,Ecz. Dilan Pul
322,HATİCE SOYER ECZANESİ,LEFKE,Cengizköy Lefke,(0548) 865 52 91,Ecz. Hatice Soyer
323,İLKSEN ECZANESİ,LEFKE,Belediye Dükkanları N0:18 Gemikonağı Lefke,(0392) 727 82 40,Ecz. İlksen Ahçıhoca
324,SADİYE TAŞAR ECZANESİ,LEFKE,Atatürk Cad. 26/A Lefke,(0392) 728 83 12,Ecz. Sadiye Taşar
325,SIDIKA UMAR ECZANESİ,LEFKE,"Menekşe Sok. No: 2/B, Gaziveren, Lefke",(0392) 723 79 97,Ecz. Sıdıka Umar
326,ŞİFA BILDIR ECZANESİ,LEFKE,Fuat Yakup Sok. Denizli N0:1 / 1 Lefke,(0533) 841 95 78,Ecz. Şifa Bıldır
327,ULUS ECZANESİ,LEFKE,Ecevit cad. N0:11 Lefke,(0392) 727 76 49,Ecz. Ulus Sabit
328,ESER AVCI ECZANESİ,ÜST MESARYA,Ögürlük Cad. No: 11/B Cihangir,(0533) 855 06 04,Ecz. Eser Avcı
329,GÖNÜL GÜRDAĞ ECZANESİ,ÜST MESARYA,Dr.Fazıl küçük Cad. No 30 Demirhan,(0539) 105 48 88,Ecz. Gönül Gürdağ
330,GÜLTEN VELİ ECZANESİ,ÜST MESARYA,79/B Cumhuriyet Cad.Cihangir Lefkoşa Mesarya,(0392) 232 35 00,Ecz. Gülten Veli
331,KEZBAN DOYGUNEL ECZANESİ,ÜST MESARYA,Atatürk Cad. N0: 2/ A Geçitkale Mağusa,(0392) 373 33 60,Ecz.Başak Sabiha Oduncuoğlu
332,MELİZ ECZANESİ,ÜST MESARYA,Lefkoşa Mağus Anayolu Demirhan,(0533) 872 42 62,Ecz. Bilgen Şimşek
333,ŞEHERLİOĞLU ECZANESİ,ÜST MESARYA,"30/Dük:1, Zafer Caddesi, Haspolat, Lefkoşa",(0392) 233 55 33,Ecz. Barış İzzet
334,SERDARLI ECZANESİ,ÜST MESARYA,Serdarlı Mağusa,(0392) 376 70 06,Ecz. Özlem Toydemir
335,TUFAN ECZANESİ,ÜST MESARYA,Çelik iş Merkezi Demirhan Lefkoşa,(0392) 232 48 15,Ecz. İsmet Tufan
336,VİJDAN BAYSAL ECZANESİ,ÜST MESARYA,"Mustafa Kemal Bulvarı Kıbrıslı Caddesi Lemon Country 34, Apt. No: 2, Minareliköy, Lefkoşa",(0548) 825 19 03,Ecz. Vijdan Baysal
337,YAPRAK POLAT ECZANESİ,ÜST MESARYA,Zafer Caddesi nOP:34 Haspolat Lefkoşa,(0533) 847 68 65,Ecz.Yaprak Polat
338,YÜKSEL ECZANESİ,ÜST MESARYA,"Sevgi Sokak, Minareliköy Milli Homes 34 No: 4, Değirmenlik, Akıncılar, Lefkoşa",(0542) 875 21 12,Ecz. Yüksel Esma Arslaner
339,BUĞRA ECZANESİ,ALT MESARYA,"Dr. Fazıl Küçük Cad. Akdoğan, Gazimağusa",(0392) 377 88 25,Ecz. Buğra Cömert
340,DOĞUŞ ACARÖZ ECZANESİ,ALT MESARYA,Atatürk Cad. No:1 İnönü,(0548) 871 72 59,Ecz. Doğuş Acaröz
341,DÖRTYOL ECZANESİ,ALT MESARYA,Recep Tayip Erdoğan Cad. N0:C-1 Dörtyol Mağusa,(0542) 851 64 34,Ecz. Ediz Toydemir
342,GÜNER BİNBOĞA ECZANESİ,ALT MESARYA,"Atatürk Cad. No: 4, Paşaköy, Alt Mesarya, Gazimağusa",(0392) 236 91 00,Ecz. Güner Binboğa
343,GÜRSOY ECZANESİ,ALT MESARYA,Akdoğan Mağusa,(0392) 377 90 69,Ecz. Ayberk Gürsoy
344,HERA AKESEN ECZANESİ,ALT MESARYA,Şht.Hüseyin Kafa Cad. No:2 Beyarmudu Pergama,(0542) 862 05 44,Ecz. Ceren Celal
345,HOCANIN ECZANESİ,ALT MESARYA,Belediye Dük No:1 Vadili,(0392) 397 82 22,Ecz. Türkay Hocanın
346,KINAY ECZANESİ,ALT MESARYA,"Mersinli Sok. No: C/4, Türkmenköy, Gazimağusa",(0392) 377 70 70,Ecz. Gökcen Kınay
347,KUDRET ECZANESİ,ALT MESARYA,Vatan Cad. N0:95 Vadili Mağusa,(0392) 397 7 00,Ecz. Kardelen Varanoğluları
348,MEHMET HOCA ECZANESİ,ALT MESARYA,Özgürlük Cad. Türkmenköy No:2 Beyarmudu Belediyesi,(0533) 873 30 98,Ecz. Ali Hoca
349,SERVET GÖKŞİN ECZANESİ,ALT MESARYA,Atatürk Caddesi No:72 Dilekkaya Lefkoşa,(0533) 830 84 01,Ecz. Servet Gökşin
350,TURAN CEYDA ECZANESİ,ALT MESARYA,"Alt Ekmekçi Sok. No: 8, Gaziköy, Alt Mesarya, Gazimağusa",(0392) 236 83 80,Ecz. Turan Ceyda
351,VADİLİ ECZANESİ,ALT MESARYA,"Vatan Cad. No: 95, Vadili, Gazimağusa",(0392) 397 77 33,Ecz. Melek Tilki
352,AVİCENNA ECZANESİ,İSKELE,"İskele Boğaz anayolu, Bereket Sokak, Petek pastanesi̇ yanı, İskele",(0542) 855 00 15,Ecz. Omar A. Hwaileh
353,BUSE ULUÇAY ECZANESİ,İSKELE,"Şht. Karter Cad. Cevizli Dış Kapı 30A, İskele",(0533) 840 50 68,Ecz. Buse Uluçay
354,ERDEM SURURİ ECZANESİ,İSKELE,"Şht. Günay Bey Caddesi No: 13/C, İskele",(0548) 844 12 78,Ecz. Erdem Sururi Ayhan
355,ERSU ADAN ECZANESİ,İSKELE,Dr.Fazıl Küçük Bulvarı Noyanlar Sitesi 8 Dük.No:4 Ötüken İskele,(0392) 378 88 87,Ecz. Ersu Adan
356,GÖKBERK ALP YAKAR ECZANESİ,İSKELE,Mekanizi Cad. Royal Sun Residance İskele,(0539) 109 95 77,Ecz. Gökberk Alp Yakar
357,İSKELE ECZANESİ,İSKELE,"Şht. İlker Karter Cad. Cevizli, 11 nolu sokak No: 3/A, İskele",(0533) 831 45 13,Ecz. Arzu Baysal
358,MEHMET İLBAN ECZANESİ,İSKELE,"Atatürk Cad. Ada Karanfil Sok. No: 9D, Harup Fabrikası karşısı, Boğaz, İskele",(0533) 834 82 51,Ecz. Mehmet İlban
359,MEVLÜT KAÇMAZ ECZANESİ,İSKELE,"Makenzi Cad. Ezgi Sok. Dumika Const.Ltd. Dük. No: 10, Cevizli, İskele",(0548) 860 55 54,Ecz. Mevlüt Kaçmaz
360,NALAN ECZANESİ,İSKELE,Kordonboyu Cad.N0:35/B Bahçeler İskele,(0392) 371 40 06,Ecz. Nalan İzzigil
361,ÖZBİRTAN ECZANESİ,İSKELE,Dt.Temel Zeki Cad. Arken B 2 Apt. N0:3 İskele,(0392) 371 22 24,Ecz. Pembe Özbirtan
362,SELİN ECZANESİ,İSKELE,Şht.Mustafa Orhan Cad.No:5 iskele,(0533) 884 86 59,Ecz. Hasan Yorgancı
363,SEVİLAY PIRLANTA ECZANESİ,İSKELE,"Şht. Davut Sadık Sok., İskele",(0392) 371 35 02,Ecz. Sevilay Pırtanta
364,SULTAN TOPEL ECZANESİ,İSKELE,"Makenzi Cad. Dük. No: 6, Ziraat Bankası yanı, İskele",(0392) 330 17 20,Ecz. Sultan Topel
365,BESİM SEVİNDİK ECZANESİ,KARPAZ,8 Ağustos Cad. Dük.No:3 Yeni Erenköy,(0533) 855 72 12,Ecz. Besim Sevindik
366,FATMA KAHYAOĞLU ECZANESİ,KARPAZ,Livadya Apt.N0:3 Çayırova İskele,(0533) 821 96 06,Ecz. İbrahim Kahyaoğlu
367,GÜRSEL 2 ECZANESİ,KARPAZ,"Kanuni Sultan Süleyman Sok. Polatpaşa Dış Kapı No: 4, Dipkarpaz",(0392) 372 21 11,Ecz. Cengiz Bereket
368,KARPAZIN ECZANESİ,KARPAZ,Şht.Mustafa H.Akdeniz Sokak No:4 YeniErenköy,(0539) 112 38 02,Ecz. İbrahim Avcı
369,MELEK İBRAHİM ECZANESİ,KARPAZ,Öztürk Cad.N0:10 Mehmetçik İskele,(0392) 375 53 66,Ecz. Şifa Cömert
370,OLGUN KAHYAOĞLU ECZANESİ,KARPAZ,Ada Cad. Bafra No: 37 / E Mehmetçik - Karpaz,(0533) 849 99 46,Ecz. Melek Kahyaoğlu
371,SAKİNER ECZANESİ,KARPAZ,"Yeni Erenköy, Karpaz, Gazimağusa",(0392) 374 43 56,Ecz. Nuran Coşkun
